host_guid,host_taxon,host_collection,host_group,parasite_record_count,parasite_taxon_count,latitude,longitude,mappable,min_year,max_year,host_url
UAM:Mamm:64985,Microtus oeconomus,UAM:Mamm,Mammal,1,1,63.9277777778,-151.4919444444,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:64985
UAM:Mamm:65284,Sorex cinereus,UAM:Mamm,Mammal,1,1,63.7555555556,-150.3311111111,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:65284
UAM:Mamm:64858,Sorex cinereus,UAM:Mamm,Mammal,1,1,63.9302777778,-151.5,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:64858
UAM:Mamm:64972,Sorex cinereus,UAM:Mamm,Mammal,1,1,63.9291666667,-151.5027777778,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:64972
UAM:Mamm:64847,Sorex cinereus,UAM:Mamm,Mammal,1,1,63.9297222222,-151.5016666667,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:64847
UAM:Mamm:65409,Sorex cinereus,UAM:Mamm,Mammal,1,1,63.7486111111,-150.3316666667,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:65409
UAM:Mamm:65342,Sorex monticolus,UAM:Mamm,Mammal,3,1,63.7486111111,-150.3316666667,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:65342
MSB:Mamm:149197,Microtus longicaudus,MSB:Mamm,Mammal,1,1,61.99575,-132.6093833333,True,2006.0,2006.0,https://arctos.database.museum/guid/MSB:Mamm:149197
MSB:Mamm:232696,Sorex cinereus,MSB:Mamm,Mammal,1,1,61.20045,-133.0469333333,True,2006.0,2006.0,https://arctos.database.museum/guid/MSB:Mamm:232696
UAM:Mamm:65308,Myodes rutilus,UAM:Mamm,Mammal,1,1,63.7555555556,-150.3311111111,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:65308
MSB:Host:6876,Alopex,MSB:Host,Host collection,1,1,,,False,1955.0,1955.0,https://arctos.database.museum/guid/MSB:Host:6876
UAM:Mamm:58675,Urocitellus parryii,UAM:Mamm,Mammal,1,1,60.9937833333,-142.02915,True,2001.0,2001.0,https://arctos.database.museum/guid/UAM:Mamm:58675
UAM:Mamm:56610,Microtus miurus,UAM:Mamm,Mammal,1,1,68.4680555556,-161.4952777778,True,2001.0,2001.0,https://arctos.database.museum/guid/UAM:Mamm:56610
UAM:Mamm:56633,Microtus oeconomus,UAM:Mamm,Mammal,2,2,67.4819444444,-162.2163888889,True,2001.0,2001.0,https://arctos.database.museum/guid/UAM:Mamm:56633
MSB:Host:6877,Alopex,MSB:Host,Host collection,4,4,,,False,1955.0,1955.0,https://arctos.database.museum/guid/MSB:Host:6877
MSB:Mamm:157781,Peromyscus sp.,MSB:Mamm,Mammal,1,1,33.3884833333,-108.60855,True,2006.0,2006.0,https://arctos.database.museum/guid/MSB:Mamm:157781
UAM:Mamm:55059,Myodes rutilus,UAM:Mamm,Mammal,1,1,67.1283333333,-159.0372222222,True,2000.0,2000.0,https://arctos.database.museum/guid/UAM:Mamm:55059
MSB:Mamm:157313,Dipodomys spectabilis,MSB:Mamm,Mammal,1,1,32.9269833333,-107.54295,True,2006.0,2006.0,https://arctos.database.museum/guid/MSB:Mamm:157313
UAM:Mamm:56658,Myodes rutilus,UAM:Mamm,Mammal,4,2,67.4736111111,-162.2163888889,True,2001.0,2001.0,https://arctos.database.museum/guid/UAM:Mamm:56658
UAM:Mamm:54733,Myodes rutilus,UAM:Mamm,Mammal,1,1,67.1230555556,-159.0536111111,True,2000.0,2000.0,https://arctos.database.museum/guid/UAM:Mamm:54733
UAM:Mamm:55001,Myodes rutilus,UAM:Mamm,Mammal,2,1,67.1283333333,-159.0372222222,True,2000.0,2000.0,https://arctos.database.museum/guid/UAM:Mamm:55001
UAM:Mamm:54766,Myodes rutilus,UAM:Mamm,Mammal,3,2,67.1241666667,-159.0986111111,True,2000.0,2000.0,https://arctos.database.museum/guid/UAM:Mamm:54766
UAM:Mamm:66077,Myodes rutilus,UAM:Mamm,Mammal,2,2,61.4569444444,-143.7961111111,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:66077
UAM:Mamm:66081,Myodes rutilus,UAM:Mamm,Mammal,1,1,61.4569444444,-143.7961111111,True,2002.0,2002.0,https://arctos.database.museum/guid/UAM:Mamm:66081
UAM:Mamm:57657,Sorex monticolus,UAM:Mamm,Mammal,2,1,61.83355,-141.8439166667,True,2001.0,2001.0,https://arctos.database.museum/guid/UAM:Mamm:57657
MSB:Host:6800,Alopex,MSB:Host,Host collection,3,3,,,False,1956.0,1956.0,https://arctos.database.museum/guid/MSB:Host:6800
UAM:Mamm:56599,Myodes rutilus,UAM:Mamm,Mammal,2,2,67.4691666667,-162.2094444444,True,2001.0,2001.0,https://arctos.database.museum/guid/UAM:Mamm:56599
