parasite_guid,related_cataloged_items
MSB:Para:45998,(collected with) identifier 6700; (collected with) identifier 6701; (collected with) identifier 6702; (parasite of) identifier 9490
MSB:Para:46002,(parasite of) identifier 25498
MSB:Para:46003,(parasite of) identifier 25498
MSB:Para:46004,(parasite of) identifier 25499
MSB:Para:46005,(parasite of) identifier 5518
MSB:Para:46007,(parasite of) identifier 25499
MSB:Para:46008,(parasite of) identifier 25499
MSB:Para:46009,(parasite of) identifier 25499
MSB:Para:46010,(parasite of) identifier 25498
MSB:Para:46011,(parasite of) identifier 25498
MSB:Para:46012,(parasite of) identifier 25498
MSB:Para:46013,(parasite of) identifier 25499
MSB:Para:46014,(parasite of) identifier 11933
MSB:Para:46015,(parasite of) identifier 5520
MSB:Para:46016,(parasite of) identifier 25503
MSB:Para:46017,(parasite of) identifier 25507
MSB:Para:46018,(parasite of) identifier 25512
MSB:Para:46019,(parasite of) identifier 25513
MSB:Para:46020,(parasite of) identifier 25500
MSB:Para:46021,(parasite of) identifier 25504
MSB:Para:46022,(parasite of) identifier 25506
MSB:Para:46023,(parasite of) identifier 25501
MSB:Para:46024,(parasite of) identifier 25508
MSB:Para:46025,(parasite of) identifier 25509
MSB:Para:46026,(parasite of) identifier 25510
MSB:Para:46027,(parasite of) identifier 25511
MSB:Para:46028,(parasite of) identifier 25502
MSB:Para:46029,(parasite of) identifier 25505
MSB:Para:46030,(parasite of) identifier 25514
MSB:Para:47070,(parasite of) institutional catalog number 30180
MSB:Para:50060,(parasite of) institutional catalog number 25611
MSB:Para:50061,(parasite of) institutional catalog number 25611
MSB:Para:50062,(parasite of) institutional catalog number 25612
MSB:Para:50063,(parasite of) institutional catalog number 25613
MSB:Para:50064,(parasite of) institutional catalog number 25612
MSB:Para:50065,(parasite of) institutional catalog number 25613
MSB:Para:50121,(parasite of) institutional catalog number 25615
MSB:Para:50122,(parasite of) institutional catalog number 25618
MSB:Para:50123,(parasite of) institutional catalog number 25618
MSB:Para:50124,(parasite of) institutional catalog number 25617
MSB:Para:50125,(parasite of) institutional catalog number 25615
MSB:Para:50126,(parasite of) institutional catalog number 25615
MSB:Para:50127,(parasite of) institutional catalog number 25616
MSB:Para:50128,(parasite of) institutional catalog number 25616
MSB:Para:50129,(parasite of) institutional catalog number 25616
MSB:Para:50130,(parasite of) institutional catalog number 25618
MSB:Para:50131,(parasite of) institutional catalog number 25618
MSB:Para:50132,(parasite of) institutional catalog number 25617
MSB:Para:50133,(parasite of) institutional catalog number 25614
MSB:Para:50134,(parasite of) institutional catalog number 25614
MSB:Para:50135,(parasite of) institutional catalog number 25619
MSB:Para:50136,(parasite of) institutional catalog number 25619
MSB:Para:50137,(parasite of) institutional catalog number 25619
MSB:Para:51636,(parasite of) collector number TFT-24-006
