parasite_guid,parasite_name,parasite_genus,parasite_species,date,year,host_guid,host_taxon,host_collection,host_group,host_sex,host_age,location_in_host,parasite_life_stage,parasite_sex,individual_count,experimental,parasite_url,host_url,latitude,longitude,mappable
MSB:Para:15801,Toxascaris,Toxascaris,,9 Dec '59,,UAM:Mamm:12359,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15801,https://arctos.database.museum/guid/UAM:Mamm:12359,63.681996,-170.482323,True
MSB:Para:15802,Uncinaria,Uncinaria,,9 Dec '59,,UAM:Mamm:12359,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15802,https://arctos.database.museum/guid/UAM:Mamm:12359,63.681996,-170.482323,True
MSB:Para:15803,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,9 Dec '59,,UAM:Mamm:12360,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15803,https://arctos.database.museum/guid/UAM:Mamm:12360,63.681996,-170.482323,True
MSB:Para:15804,Taenia,Taenia,,9 Dec '59,,UAM:Mamm:12360,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15804,https://arctos.database.museum/guid/UAM:Mamm:12360,63.681996,-170.482323,True
MSB:Para:15805,Crenosoma,Crenosoma,,14 March '60,,UAM:Mamm:12453,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15805,https://arctos.database.museum/guid/UAM:Mamm:12453,,,False
MSB:Para:15806,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,14 March '60,,UAM:Mamm:12453,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15806,https://arctos.database.museum/guid/UAM:Mamm:12453,,,False
MSB:Para:15807,Taenia,Taenia,,14 March '60,,UAM:Mamm:12453,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15807,https://arctos.database.museum/guid/UAM:Mamm:12453,,,False
MSB:Para:15808,Toxascaris,Toxascaris,,14 March '60,,UAM:Mamm:12453,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15808,https://arctos.database.museum/guid/UAM:Mamm:12453,,,False
MSB:Para:15809,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,1 March '60,,UAM:Mamm:12454,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15809,https://arctos.database.museum/guid/UAM:Mamm:12454,,,False
MSB:Para:1581,Cestoda,,,Aug 27 '55,,MSB:Host:10584,Glaucous-winged Gull (L. hyperboreas),MSB:Host,Host collection,male,,small intestine,,,,,https://arctos.database.museum/guid/MSB:Para:1581,https://arctos.database.museum/guid/MSB:Host:10584,,,False
MSB:Para:15810,Taenia,Taenia,,1 March '60,,UAM:Mamm:12454,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15810,https://arctos.database.museum/guid/UAM:Mamm:12454,,,False
