parasite_guid,parasite_name,parasite_genus,parasite_species,date,year,host_guid,host_taxon,host_collection,host_group,host_sex,host_age,location_in_host,parasite_life_stage,parasite_sex,individual_count,experimental,parasite_url,host_url,latitude,longitude,mappable
MSB:Para:15915,Taenia,Taenia,,5 Feb 1959,1959.0,UAM:Mamm:12277,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15915,https://arctos.database.museum/guid/UAM:Mamm:12277,,,False
MSB:Para:15916,Uncinaria,Uncinaria,,5 Feb 1959,1959.0,UAM:Mamm:12277,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15916,https://arctos.database.museum/guid/UAM:Mamm:12277,,,False
MSB:Para:15917,Taenia,Taenia,,7 March '59,,UAM:Mamm:12278,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15917,https://arctos.database.museum/guid/UAM:Mamm:12278,63.681996,-170.482323,True
MSB:Para:15918,Toxascaris,Toxascaris,,early Dec '59,,UAM:Mamm:12325,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15918,https://arctos.database.museum/guid/UAM:Mamm:12325,63.77972,-171.74111,True
MSB:Para:15919,Uncinaria,Uncinaria,,early Dec '59,,UAM:Mamm:12325,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15919,https://arctos.database.museum/guid/UAM:Mamm:12325,63.77972,-171.74111,True
MSB:Para:1592,Cestoda,,,Sept 23 '55,,MSB:Host:7604,Erethizon dorsatum,MSB:Host,Host collection,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:1592,https://arctos.database.museum/guid/MSB:Host:7604,,,False
MSB:Para:15920,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,7 Dec '59,,UAM:Mamm:12326,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15920,https://arctos.database.museum/guid/UAM:Mamm:12326,,,False
MSB:Para:15921,Taenia,Taenia,,7 Dec '59,,UAM:Mamm:12326,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15921,https://arctos.database.museum/guid/UAM:Mamm:12326,,,False
MSB:Para:15922,Toxascaris,Toxascaris,,7 Dec '59,,UAM:Mamm:12326,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15922,https://arctos.database.museum/guid/UAM:Mamm:12326,,,False
MSB:Para:15923,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,8 Dec '59,,UAM:Mamm:12327,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15923,https://arctos.database.museum/guid/UAM:Mamm:12327,,,False
MSB:Para:15924,Taenia,Taenia,,8 Dec '59,,UAM:Mamm:12327,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15924,https://arctos.database.museum/guid/UAM:Mamm:12327,,,False
MSB:Para:15925,Toxascaris,Toxascaris,,8 Dec '59,,UAM:Mamm:12327,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15925,https://arctos.database.museum/guid/UAM:Mamm:12327,,,False
MSB:Para:15926,Uncinaria,Uncinaria,,7 April 1960,1960.0,UAM:Mamm:12369,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15926,https://arctos.database.museum/guid/UAM:Mamm:12369,63.750849,-171.741111,True
MSB:Para:15927,Taenia,Taenia,,22 March 1960,1960.0,UAM:Mamm:12376,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15927,https://arctos.database.museum/guid/UAM:Mamm:12376,,,False
MSB:Para:15928,Toxascaris,Toxascaris,,22 March 1960,1960.0,UAM:Mamm:12376,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15928,https://arctos.database.museum/guid/UAM:Mamm:12376,,,False
MSB:Para:15929,Uncinaria,Uncinaria,,22 March 1960,1960.0,UAM:Mamm:12376,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15929,https://arctos.database.museum/guid/UAM:Mamm:12376,,,False
MSB:Para:1593,Cestoda,,,Sept 23 '55,,MSB:Host:7606,Erethizon dorsatum,MSB:Host,Host collection,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:1593,https://arctos.database.museum/guid/MSB:Host:7606,,,False
MSB:Para:15930,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,2 April '60,,UAM:Mamm:12379,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15930,https://arctos.database.museum/guid/UAM:Mamm:12379,,,False
MSB:Para:15931,Taenia,Taenia,,2 April '60,,UAM:Mamm:12379,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15931,https://arctos.database.museum/guid/UAM:Mamm:12379,,,False
MSB:Para:15932,Uncinaria,Uncinaria,,2 April '60,,UAM:Mamm:12379,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15932,https://arctos.database.museum/guid/UAM:Mamm:12379,,,False
MSB:Para:15933,Taenia,Taenia,,7 April '60,,UAM:Mamm:12380,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15933,https://arctos.database.museum/guid/UAM:Mamm:12380,63.77972,-171.74111,True
MSB:Para:15934,Taenia,Taenia,,20 March '60,,UAM:Mamm:12393,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15934,https://arctos.database.museum/guid/UAM:Mamm:12393,,,False
MSB:Para:15935,Toxascaris,Toxascaris,,20 March '60,,UAM:Mamm:12393,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15935,https://arctos.database.museum/guid/UAM:Mamm:12393,,,False
MSB:Para:15936,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,31 March '60,,UAM:Mamm:12394,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15936,https://arctos.database.museum/guid/UAM:Mamm:12394,63.77972,-171.74111,True
MSB:Para:15937,Taenia,Taenia,,31 March '60,,UAM:Mamm:12394,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15937,https://arctos.database.museum/guid/UAM:Mamm:12394,63.77972,-171.74111,True
MSB:Para:15938,Toxascaris,Toxascaris,,31 March '60,,UAM:Mamm:12394,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15938,https://arctos.database.museum/guid/UAM:Mamm:12394,63.77972,-171.74111,True
MSB:Para:15939,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,26 March '60,,UAM:Mamm:12395,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15939,https://arctos.database.museum/guid/UAM:Mamm:12395,63.418802,-171.741111,True
MSB:Para:1594,Cestoda,,,Sept 23 '55,,MSB:Host:7607,Erethizon dorsatum,MSB:Host,Host collection,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:1594,https://arctos.database.museum/guid/MSB:Host:7607,,,False
MSB:Para:15940,Taenia,Taenia,,26 March '60,,UAM:Mamm:12395,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15940,https://arctos.database.museum/guid/UAM:Mamm:12395,63.418802,-171.741111,True
MSB:Para:15941,Toxascaris,Toxascaris,,26 March '60,,UAM:Mamm:12395,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15941,https://arctos.database.museum/guid/UAM:Mamm:12395,63.418802,-171.741111,True
MSB:Para:15942,Toxascaris,Toxascaris,,7 March '59,,UAM:Mamm:12278,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15942,https://arctos.database.museum/guid/UAM:Mamm:12278,63.681996,-170.482323,True
MSB:Para:15943,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,2 March 1959,1959.0,UAM:Mamm:12367,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15943,https://arctos.database.museum/guid/UAM:Mamm:12367,63.681996,-170.482323,True
MSB:Para:15944,Taenia,Taenia,,2 March 1959,1959.0,UAM:Mamm:12367,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15944,https://arctos.database.museum/guid/UAM:Mamm:12367,63.681996,-170.482323,True
MSB:Para:15945,Toxascaris,Toxascaris,,2 March 1959,1959.0,UAM:Mamm:12367,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15945,https://arctos.database.museum/guid/UAM:Mamm:12367,63.681996,-170.482323,True
MSB:Para:15946,Taenia,Taenia,,6 March '59,,UAM:Mamm:12279,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15946,https://arctos.database.museum/guid/UAM:Mamm:12279,63.681996,-170.482323,True
MSB:Para:15947,Toxascaris,Toxascaris,,6 March '59,,UAM:Mamm:12279,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15947,https://arctos.database.museum/guid/UAM:Mamm:12279,63.681996,-170.482323,True
MSB:Para:15948,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,2 March '59,,UAM:Mamm:12286,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15948,https://arctos.database.museum/guid/UAM:Mamm:12286,63.681996,-170.482323,True
MSB:Para:15949,Taenia,Taenia,,2 March '59,,UAM:Mamm:12286,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15949,https://arctos.database.museum/guid/UAM:Mamm:12286,63.681996,-170.482323,True
MSB:Para:1595,Nematoda,,,Sept 27 '55,,MSB:Host:10171,Felis domesticus,MSB:Host,Host collection,male,,small intestine,,,,yes,https://arctos.database.museum/guid/MSB:Para:1595,https://arctos.database.museum/guid/MSB:Host:10171,,,False
