host_guid,host_species,host_genus,part_name,part_id,part_remark,preservation,condition,part_count,parsed_flea_count,parsed_mite_count,parsed_tick_count,parsed_louse_count,parsed_nematode_count,parsed_cestode_count,parsed_trematode_count
KSB:Mamm:4138,Neotoma floridana,Neotoma,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4138/PID33617393,"1 flea, 2 ticks",ethanol 95%,unknown,1,1.0,,2.0,,,,
KSB:Mamm:4139,Sigmodon hispidus,Sigmodon,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4139/PID33617401,"over 5 fleas, 1 tick",ethanol 95%,unknown,1,5.0,,1.0,,,,
KSB:Mamm:4140,Neotoma floridana,Neotoma,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4140/PID33617410,2 fleas,ethanol 95%,unknown,1,2.0,,,,,,
KSB:Mamm:4141,Neotoma floridana,Neotoma,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4141/PID33617418,3 fleas,ethanol 95%,unknown,1,3.0,,,,,,
KSB:Mamm:4141,Neotoma floridana,Neotoma,nematode,https://arctos.database.museum/guid/KSB:Mamm:4141/PID33617419,1 found in small intestine,ethanol 80%,unknown,1,,,,,,,
KSB:Mamm:4143,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4143/PID33617434,"1 flea, 1 tick",ethanol 95%,unknown,1,1.0,,1.0,,,,
KSB:Mamm:4145,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4145/PID33617449,2 fleas,ethanol 95%,unknown,1,2.0,,,,,,
KSB:Mamm:4146,Microtus ochrogaster,Microtus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4146/PID33617457,"2 fleas, mite eggs",ethanol 95%,unknown,1,2.0,,,,,,
KSB:Mamm:4146,Microtus ochrogaster,Microtus,cestode,https://arctos.database.museum/guid/KSB:Mamm:4146/PID33617458,5 found in small intestine,ethanol 80%,unknown,1,,,,,,,
KSB:Mamm:4149,Blarina hylophaga,Blarina,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4149/PID33617480,1 flea,ethanol 95%,unknown,1,1.0,,,,,,
KSB:Mamm:4149,Blarina hylophaga,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:4149/PID33617481,mass kill,ethanol 80%,unknown,1,,,,,,,
KSB:Mamm:4151,Sigmodon hispidus,Sigmodon,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4151/PID33617496,mite eggs,ethanol 95%,unknown,1,,,,,,,
KSB:Mamm:4153,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4153/PID33617511,"1 flea, 1 louse",ethanol 95%,unknown,1,1.0,,,1.0,,,
KSB:Mamm:4154,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4154/PID33617519,"1 mite, mite eggs",ethanol 95%,unknown,1,,1.0,,,,,
KSB:Mamm:4155,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4155/PID33617527,6 fleas,ethanol 95%,unknown,1,6.0,,,,,,
KSB:Mamm:4156,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4156/PID33617535,1 tick,ethanol 95%,unknown,1,,,1.0,,,,
KSB:Mamm:4157,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4157/PID33617543,"1 flea, mite egg",ethanol 95%,unknown,1,1.0,,,,,,
KSB:Mamm:4158,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4158/PID33617551,"3 fleas, 4 mites",ethanol 95%,unknown,1,3.0,4.0,,,,,
KSB:Mamm:4159,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4159/PID33617559,"2 fleas, 2 mites",ethanol 95%,unknown,1,2.0,2.0,,,,,
KSB:Mamm:4163,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4163/PID33617589,3 fleas,ethanol 95%,unknown,1,3.0,,,,,,
KSB:Mamm:4165,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4165/PID33617604,"3 fleas, 3 flea larvae?",ethanol 95%,unknown,1,3.0,,,,,,
KSB:Mamm:4166,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4166/PID33617612,"6 fleas, 7 mites",ethanol 95%,unknown,1,6.0,7.0,,,,,
KSB:Mamm:4167,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4167/PID33617620,2 fleas,ethanol 95%,unknown,1,2.0,,,,,,
KSB:Mamm:4168,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4168/PID33617628,"4 fleas, 2 mites",ethanol 95%,unknown,1,4.0,2.0,,,,,
KSB:Mamm:4169,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4169/PID33617636,"1 flea, 4 mites",ethanol 95%,unknown,1,1.0,4.0,,,,,
KSB:Mamm:4170,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4170/PID33617644,4 mites,ethanol 95%,unknown,1,,4.0,,,,,
KSB:Mamm:4171,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4171/PID33617652,"1 flea, 1 mite",ethanol 95%,unknown,1,1.0,1.0,,,,,
KSB:Mamm:4172,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4172/PID33617660,1 mite,ethanol 95%,unknown,1,,1.0,,,,,
KSB:Mamm:4173,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4173/PID33617669,"5 fleas, 3 mites, 2 larvae",ethanol 95%,unknown,1,5.0,3.0,,,,,
KSB:Mamm:4175,Peromyscus leucopus,Peromyscus,ectoparasite,https://arctos.database.museum/guid/KSB:Mamm:4175/PID33617684,4 fleas,ethanol 95%,unknown,1,4.0,,,,,,
KSB:Mamm:4770,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:4770/PID33702606,,,unknown,1,,,,,,,
KSB:Mamm:4780,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:4780/PID33702619,,,unknown,1,,,,,,,
KSB:Mamm:4976,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:4976/PID33702596,,,unknown,1,,,,,,,
KSB:Mamm:5010,Sorex monticolus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5010/PID33702643,,,unknown,1,,,,,,,
KSB:Mamm:5011,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5011/PID33702608,,,unknown,1,,,,,,,
KSB:Mamm:5012,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5012/PID33702597,,,unknown,1,,,,,,,
KSB:Mamm:5013,Sorex hoyi,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5013/PID33702605,,,unknown,1,,,,,,,
KSB:Mamm:5015,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5015/PID33702595,,,unknown,1,,,,,,,
KSB:Mamm:5041,Sorex monticolus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5041/PID33702617,,,unknown,1,,,,,,,
KSB:Mamm:5042,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5042/PID33702618,,,unknown,1,,,,,,,
KSB:Mamm:5044,Sorex monticolus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5044/PID33702616,,,unknown,1,,,,,,,
KSB:Mamm:5054,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5054/PID33702620,,,unknown,1,,,,,,,
KSB:Mamm:5055,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5055/PID33702621,,,unknown,1,,,,,,,
KSB:Mamm:5056,Sorex arcticus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5056/PID33702622,,,unknown,1,,,,,,,
KSB:Mamm:5072,Sorex monticolus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5072/PID33702614,,,unknown,1,,,,,,,
KSB:Mamm:5079,Sorex monticolus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5079/PID33702609,,,unknown,1,,,,,,,
KSB:Mamm:5080,Sorex monticolus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5080/PID33702607,,,unknown,1,,,,,,,
KSB:Mamm:5081,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5081/PID33702611,,,unknown,1,,,,,,,
KSB:Mamm:5082,Sorex hoyi,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5082/PID33702613,,,unknown,1,,,,,,,
KSB:Mamm:5083,Sorex hoyi,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5083/PID33702610,,,unknown,1,,,,,,,
KSB:Mamm:5084,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5084/PID33702612,,,unknown,1,,,,,,,
KSB:Mamm:5085,Sorex monticolus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5085/PID33702615,,,unknown,1,,,,,,,
KSB:Mamm:5086,Sorex monticolus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5086/PID33702594,,,unknown,1,,,,,,,
KSB:Mamm:5153,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5153/PID33702636,,,unknown,1,,,,,,,
KSB:Mamm:5164,Sorex hoyi,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5164/PID33702633,,,unknown,1,,,,,,,
KSB:Mamm:5168,Sorex palustris,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5168/PID33702635,,,unknown,1,,,,,,,
