guid,species,genus,sex,life_stage,date,locality,latitude,longitude,mappable,parasite_status,detected,not_detected,parasite_parts_present,parasite_summary,flea_count,mite_count,tick_count,louse_count,nematode_count,cestode_count,trematode_count,arctos_url
KSB:Mamm:1572,Canis latrans,Canis,female,adult,4 Feb. 2024,"USA, IL; Whiteside County",41.765,-89.903,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1572
KSB:Mamm:1573,Canis latrans,Canis,male,adult,4 Feb. 2024,"USA, IL; Rock Island",41.489,-90.514,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1573
KSB:Mamm:1574,Peromyscus leucopus,Peromyscus,male,adult,2024-05-29,"USA, KS; KPBS, 20B",39.07132,-96.57821,True,detected,ectoparasite: tick,,ectoparasite,ectoparasite: 6 Ticks,,,6.0,,,,,https://arctos.database.museum/guid/KSB:Mamm:1574
KSB:Mamm:1575,Canis latrans,Canis,male,adult,30 Jan. 2023,"USA, KS; Lincoln County",39.126103,-98.150452,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1575
KSB:Mamm:1576,Canis latrans,Canis,male,adult,12 Mar. 2023,"USA, IN; Kokomo",40.4846,-86.1338,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1576
KSB:Mamm:1577,Canis latrans,Canis,female,adult,4 Feb. 2024,"USA, IL; Bureau/La Salle",41.447,-89.127,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1577
KSB:Mamm:1578,Canis latrans,Canis,female,adult,4 Feb. 2024,"USA, IL; Knox/Henry/Rock Island Ccounty",41.25,-90.445,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1578
KSB:Mamm:1579,Canis latrans,Canis,female,adult,26 Feb. 2023,"USA, MO; Lawrence County",37.102,-93.818,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1579
KSB:Mamm:1580,Canis latrans,Canis,female,adult,4 Feb. 2024,"USA, IL; Henry County",41.346,-90.108,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1580
KSB:Mamm:1581,Canis latrans,Canis,male,adult,4 Feb. 2024,"USA, IL; Whiteside County",41.765,-89.903,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1581
KSB:Mamm:1582,Canis latrans,Canis,male,adult,12 Mar. 2023,"USA, IN; Kokomo",40.4846,-86.1338,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1582
KSB:Mamm:1583,Canis latrans,Canis,male,adult,4 Feb. 2024,"USA, IL; Henry County",41.346,-90.108,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1583
KSB:Mamm:1584,Canis latrans,Canis,male,adult,4 Feb. 2024,"USA, IL; Henry County",41.346,-90.108,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1584
KSB:Mamm:1585,Castor canadensis,Castor,unknown,adult,Jan. 2019,"USA, KS; Pottawatomie County; Along Kansas River",39.38401,-96.332437,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1585
KSB:Mamm:1586,Bison bison,Bison,female,adult,23 May 2023,"USA, KS; Riley County; KPBS",39.092901,-96.580506,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1586
KSB:Mamm:1587,Canis latrans,Canis,male,adult,26 Feb. 2023,"USA, MO; Barton County",37.492,-94.384,True,mixed screening,ectoparasite: flea,endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1587
